claim,label
"En tu trabajo, ®UDS. tienen acceso al detalle de los fallecidos en cada turno?Por inoformaci¢n del propio wn, sabemos que solo est†n muriendo por #Covid_19 excepto los accidentados""",uncertain
COVID-19: un nuevo estudio apunta al pangol°n como el animal que contagi¢ a los humanos,uncertain
Todav°a  debemos seguir las medidas de prevenci¢n para el Covid 19,uncertain
Un mÇdico se recupera de COVID-19 luego de dar positivo a 3 pruebas; donar† su plasma en Coahuila,uncertain
Si queremos mejorar en la lucha contra el Covid-19 es fundamental ser capaces autocr°ticarnos y al menos escuchar la ajena,uncertain
El covid-19 muto ahora es uribista,uncertain
Personal mÇdico espa§ol que atiende COVID-19 gana el Princesa de Austrias de la Concordia 2020,uncertain
#Covid_19 no es ciencia ficci¢n sino que causa enfermedad y muerte. Aplicaci¢n de los protocolos y la apertura gradual o el endurecimiento de las medidas dependen de las condiciones de propagaci¢n del virus,uncertain
La uni¢n de mÇdicos farmacÇuticos y enfermeros ha demostrado ser el mejor ant°doto frente al COVID-19,uncertain
TVN estrena nuevo docurreality enfocado en la labor del personal mÇdico contra elˇCOVID-19,uncertain
Adultos mayores reciben asistencia mÇdica integral por el COVID-19,uncertain
PÇrdida de empleos por pandemia de COVID-19 se desaceler¢ en mayo asegura L¢pez Obrador,uncertain
La directora de la Organizaci¢n Panamericana de la Salud (OPS) Carissa Etienne inform¢ el martes que LatinoamÇrica est† cerca de alcanzar los tres millones de casos confirmados de coronavirus,uncertain
Los sanitarios en primera l°nea contra la covid-19 premio Princesa de Asturias de la Concordia,uncertain
Como parte de las medidas de prevenci¢n contra el Covid-19 estamos intensificando la limpieza de los 10 mil contenedores que tenemos en la ciudad.Las tareas incluyen la desinfecci¢n y el lavado de la superficie exterior y el entorno,uncertain
La Superintendencia de Pensiones realiza aporte al Hospital Dr. µngel Contreras Mej°a de Monte Plata para combatir el Covid-19 en ese municipio,uncertain
A todos los pacientes que lleguen con s°ntomas sospechosos de Covid en hospitales se les har† una toma de muestra para examen que determinar† si est† contagiado o no,uncertain
No se le desea la muerte se le desea que le de Covid-19 lo que pase despuÇs es su flatulencia,uncertain
Samuel Garc°a pide que Nuevo Le¢n detalle gasto millonario en COVID-19,uncertain
En las £ltimas 24 horas hubo 14 muertes por COVID-19 en la Argentina y el total de v°ctimas fatales lleg¢ a 570. Hay m†s de 18 mil infectados en todo el pa°s,uncertain
Mantienen y refuerzan control preventivo en accesos de Coronel para prevenir propagaci¢n del covid-19 ,uncertain
A 1 a§o del Plan de Descarbonizaci¢n ®c¢mo influye la crisis econ¢mica por COVID-19?,uncertain
Si van a apoyar la manifestaciones por lo menos que digan como protegerse en ellas,uncertain
Fue eemasiado leve el covid 19 espero q el pr¢ximo aniquile las 3/4 partes del planeta,uncertain
Hasta del covid-19 se olvidaron que predecibles somos como sociedad... por eso nos manejan como quieren,uncertain
Las #aerol°neas rechazan liberar el asiento entre dos pasajeros porque sostienen que el #contagio en #avi¢n es raro que se produzca,uncertain
Los dineros se van a los medios en publicidad del Covid 19  2 billones con B larga de pesos,uncertain
Quien no tenga necesidad d salir.. que no salgan para nada. Se inicia el pico y puede pararse todo d vuelta,uncertain
Ustedes quÇ opinan acerca del gobierno de la 4T contra el COVID-19,uncertain
Habitantes de la localidad de Kennedy han protestado por falta de alimentos.Varios ciudadanos se manifestaron en las calles pidiendo ayudas de la Alcald°a.Este sector de Bogot† continuar°a cerrado hasta el 15 de junio debido a los brotes de COVID-19,uncertain
Es el reconocimiento a los profesionales sanitarios que se han jugado la vida por los pacientes de COVID-19 dejando por el camino mucho sufrimiento y vidas,uncertain
En que quedamos?Es buena o es que el virus no ha sido lo suficientemente letal?La OMS reanudar† sus pruebas con hidroxicloroquina para encontrar una vacuna contra el covid-19,uncertain
Se dispara pandemia en la Regi¢n del Maule con 214 nuevos casos de Covid-19 en un d°a,uncertain
El peque§o comercio dispara el uso de aplicaciones de pago por m¢vil a ra°z del COVID-19,uncertain
La D.C.E.V.P  Suma esfuerzos y transmite audio de que nos encontramos en Sem†foro Rojo deribado de la Pandemia del Virus COVID-19,uncertain
Por ning£n motivo bajes la guardia ante el COVID-19 recuerda seguir las medidas sanitarias hazlo por tus hijos por tus hermanos por tus padres y abuelos no salgas de tu hogar,uncertain
Las tendencias frente a la nueva realidad post #Covid_19 ponen a la bicicleta en un lugar privilegiado,uncertain
Consum instala sem†foros en sus tiendas 'La cooperativa invierte 25 millones de euros en un sistema de control de aforo',uncertain
MantÇn las medidas b†sicas de higiene y por favor,uncertain
No recibimos nada ni el bono COVID-19.A quien ayudan realmente??Esa es mi pregunta,uncertain
Compartimos la entrevista a Cora Arias investigadora del CITRA sobre el Monitor Laboral de Covid-19 que est† desarrollando el citrainv,uncertain
Alguien sabe si ya se est† organizando algo?? O hay que empezar ya con los preparativos ??,uncertain
El turismo post COVID-19 y las razones para preocuparse,uncertain
La diputada mariajocc14 indic¢ que si antes de la pandemia del COVID-19 era necesaria esta legislaci¢n en el contexto actual es m†s relevante su aprobaci¢n.,uncertain
PorquÇ el Estado no previ¢ la escasez de este vital elemento para salvar vidas no se puede construir plantas port†tiles a la brevedad?,uncertain
Son personal de lavander°a limpieza cocina y mantenimiento que arriesgan su vida en la primera l°nea de batalla pero cuya labor pasa desapercibida,uncertain
Ya perdonaron a los Chinos o todav°a los odian? ,uncertain
Atenci¢n se acaba el plazo para cambiar domicilio electoral para votar en plebiscito de octubre. Esta Pandemia Covid_19 hace m†s urgente una NuevaConstitucion para garantizar derechos sociales,uncertain
Gobierno y oposici¢n firman acuerdo para combatir covid-19,uncertain
OMS dice que segunda ola de covid-19 se puede evitar,uncertain
Entramos al Hospital Ju†rez de MÇxico zona cero de COVID-19 en el pa°s para hablar con los hÇroes invisibles.,uncertain
El £ltimo afectado por covid-19 en el hospital comarcal de O Barco de Valdeorras se march¢ este martes a primera hora de la tarde,uncertain
M†s tests se suman durante este junio,uncertain
Pedro S†nchez cabalga sobre las v°ctimas del COVID19 Lo digo alto y claro viva el 8M,uncertain
Estamos llevando a cabo con mucho cuidado la Nueva Normalidad etapa en el control de la epidemia de COVID-19. No hemos abierto todas las actividades productivas ni de recreaci¢n. ,uncertain
Cient°fico sueco reconoce errores en lucha contra COVID-19,uncertain
PSPV PP Comprom°s Cs y Vox consensuan en Torrent un gran acuerdo municipal para luchar juntos contra el COVID-19,uncertain
Lo quÇ se necesita es comida remedios toma de decisiones del covid 19 que sean reales. Ya que parece quÇ el ministro de salud juega todos los d°as con nosotros.,uncertain
El regidor de reglamentos del municipio de Santa Lucia Del Camino  Antonio Pacheco Ram°rez muri¢ hace unos momentos a causa de COVID19,uncertain
500 ramos fueron entregados en las instalaciones de Atesa de Occidente a hombres y mujeres que con su labor de limpieza en las zonas p£blicas de la ciudad,uncertain
Luego de seis meses de lucha contra el coronavirus y tras haber hecho muchos estudios sobre el virus en el mundo recopilamos toda la informaci¢n,uncertain
En Antioquia se procesar†n las muestras de COVID19 represadas en Tumaco Nari§o una de las zonas del pa°s con m†s casos del virus,uncertain
El Futbolista malague§o Alexis Ruano  AlexisRuano8 se une a nuestra campa§a solidaria para ayudar a las familias vulnerables afectadas por la crisis sanitaria provocada por el Covid19.,uncertain
Ahcaray En quÇ momento nos aumentaron el pasaje en el EDOMEX?,uncertain
La Covid19 sigue cogiendo fuerza mientras le demos la oportunidad. Eventos de supercontagiadores en ambientes interiores golpean ahora mismo nuestra realidad,uncertain
Orgulloso joven calixte§o de ofrecer su contribuci¢n al enfrentamiento de la Covid 19 ,uncertain
Excelente webinar sobre el branding post Covid19 con marioriorda junto mariajoseCANEL organizado por EPCaustral,uncertain
Nos estmos volviendo adictos a internet? Si est†s pasando muchas horas conectado este tema es para ti.,uncertain
La Facultad de Ciencias Veterinarias FCVUNLP se convirti¢ en la tercera unidad acadÇmica de la unlp en implementar los diagn¢sticos de Covid19 a travÇs de la tÇcnica de PCR tiempo real,uncertain
Cruz Roja aboga por una distribuci¢n equitativa de la posible vacuna contra el Covid19,uncertain
ya que una de las pocas actividades que tenemos es ir a una terraza igual ser°a buen momento para prohibir fumar en terrazas y que no muramos de #tabaco los que nos salvamos de Covid19,uncertain
Cordillera Chiriqu°. Luego de tres meses de cuarentena por la pandemia del COVID19 he realizado mi primera aventura y me traslade hasta el corregimiento de Cordillera para conocer la hermosa,uncertain
Pedro aprendi¢ mucho sobre la relevancia de generar consensos en este mundo en riesgo,uncertain
ofrecemos pruebas covid-19 para sus empleados,uncertain
El futuro del branding gubernamental post COVID19,uncertain
Lista de #Cerro presentada a la APF para las pruebas de Covid19,uncertain
Y no s¢lo a mi abuelo le pasa estos se§ores han asaltado alrededor de 15 locales y 25 personas que han terminado hospitalizadas en s¢lo 3 meses tambiÇn se dice que estos traen COVID19,uncertain
No tiene sentido hablar mal de las comunidades carlosreyesrr pida disculpas,uncertain
Hay que acatar todas las medidas necesarias para contrarrestar el contagio del virus Covid19.  Usando mascarilla guantes y desinfectando frutas y verduras,uncertain
Cooperativas Agroalimentarias CastillaLa Mancha y Globalcaja analizan el entorno geopol°tico y econ¢mico tras el COVID19 ,uncertain
Nuevas medidas de Prevenci¢n para el Municipio de Contrataci¢n de acuerdo a lo establecido en el Decreto No. 042 de 2020,uncertain
Que bueno que inviten a la gente a respetar la cuarentena pero porque autorizan a empresas que no son de primera necesidad a funcionar,uncertain
QuÇ raro que solo haya habido casos de Covid19 en hombres y mujeres y no en los otros 27901 gÇneros,uncertain
Volver al trabajo despuÇs delˇCovid19,uncertain
Hola por Covid19 el sistema p£blico de salud est† entregando medicamentos AUGE a domicilio a adultos mayores.,uncertain
IsapreConsalud y Salcobrand no entregan a domicilio los medicamentos GES. LOS PRIVADOS Piensan en los adultos mayores? ,uncertain
Trabajamosestamos expuestos al  contagio del covid19las pruebas brillan por su ausenciay estos buenos para nada se ganan 35 millones sin hacer ni mierda,uncertain
5to Conversatorio RAGA sobre Estado Abierto y Gesti¢n del Covid 19 Estado Abierto GÇnero y Covid9. Ejes tem†ticos teletrabajo cuidados y violencia Viernes 5 de junio a las 14hs ,uncertain
Una alternativa de movilidad sostenible y saludable que est† transformando los h†bitos de desplazamiento alrededor del mundo,uncertain
Admito que desde que en Suiza hemos vuelto a la normalidad ya ni leo la actualidades sobre el COVID 19 en Suiza de vez en cuando miro las cifras y aunque aun siguen subiendo,uncertain
Mi t°o Gustavo abri¢ un restaurante de pollos y por el Covid19 esta apunto de perder todo su patrimonio. me podr°an regalar compartir para promocionar sus pollos,uncertain
QuÇ se podr°a hacer en Madrid si pasa a fase 2 el pr¢ximo lunes,uncertain
La vacuna del covid 19 es un plan para derrocar al capitalismo,uncertain
Para poder avanzar en la lucha contra el Covid-19 es necesario que cada ciudadano haga lo que le corresponde debemos mantener el distanciamiento social y las medidas de seguridad,uncertain
Declaraci¢n Alma Ata en 1978 releva la importancia de abordar salud de manera integral. Chile 2020 tras meses de pandemia Covid19 reciÇn se les ocurre agregar el nivel primario de atenci¢n.,uncertain
les quiere recordar que deben lavar bien sus manos antes y despuÇs seg£n sea el caso que describimos a continuaci¢n as° nos cuidamos y evitamos un posible contagi¢ o propagaci¢n del Covid19,uncertain
El llamado q nos hace el gob y sistema de salud de Cuba es QuedateEnTuCasa nos lo piden por ti y por todos.,uncertain
La responsabilidad es una exigencia en tiempos Covid19.,uncertain
Les estaremos contando sobre las pr¢ximas sesiones y avances planteados por la Mesa GÇnero COVID19,uncertain
Atenci¢n comunidad PUCV y makers Quieres sumarte a la red maker contra el COVID19 La idea es que todos y todas quienes cuenten con impresoras 3D puedan fabricar un Face Shield,uncertain
RenÇ Trejo Espinoza director de Panteones de Cuautla se§al¢ que derivado de la contingencia que se vive por la pandemia del COVID19 se determino habilitar un espacio para inhumar a pacientes que fallecieron por COVID19,uncertain
Esto no es un relajo. El Covid19 no se ha ido tampoco hay vacuna. ,uncertain
La mascarilla tampoco es un cintillo.Si la usas en la cabeza tamo mal. ,uncertain
Hay que estar pendiente de la informaci¢n,uncertain
As° la esquizofrÇnica pol°tica y discursiva que se vive en esta pa°s Covid19,uncertain
Supuestamente los hospitales son lugares de MUY ALTO RIESGO DE CONTAGIO DE COVID 19 pero nosotros no podemos ba§arnos al llegar a casa,uncertain
Regresan a Cuba compatriotas varados en Rusia por la #COVID19,uncertain
El Sector de los Seguros est† entre los que menos quejas ha recibido durante todo el periodo que ha durado la pandemia del Covid 19,uncertain
Coviandina en cumplimiento al Plan de Responsabilidad Social y Empresarial realiz¢ la entrega de elementos de bioseguridad tapabocas gel anti bacterial entre otros al Centro Penitenciario del municipio de C†queza,uncertain
Comparta comparta que todos los sepan...otro pico en el ojo,uncertain
En otras noticia el pa°s se hunde en la mierda mientras las autoridades no hace nada al respeto y la sociedad se muere antes la crisis sanitaria Covid19,uncertain
Hacia Donde Vamos Cual es la Verdadera Realidad Ante el COVID19,uncertain
El negocio siempre es negocio,uncertain
fortaleceremos los trabajos de las familias protegidas por el Programa Tekopora en el contexto del COVID19 y el proyecto Huertas Familiares,uncertain
Hoy a las 5:00 voy platicarles un poco sobre la agenda feminista en tiempos de COVID19 en la p†gina de FB de REDefine Puebla,uncertain
Paraguay???? apoya respuesta conjunta conf°a en la cooperaci¢n y solidaridad y plantea Alianza para el Ambiente sostuvo el canciller ARivasPalacios,uncertain
No hay mejor desinfectante que la luz solar,uncertain
Caso positivo de covid19 en mi barrio Vino de Buenos Aires y andaba por el barrio como si nada y ahora sale haciÇndose la v°ctima que no la traten de ego°sta,uncertain
Cuidado con billetes con Covid19,uncertain
se habla m†s de econom°a que salud. Hoy 87 fallecidos,uncertain
QuÇ se sabe al respecto de la vacuna contra COVID19 Ma§ana en nuestro encuentro en vivo el dr. Wilmar Maya podr† resolvernos inquietudes al respecto,uncertain
Familiares de pacientes con COVID-19 claman por balones de ox°geno en el Hospital I de Yurimaguas,uncertain
Le est†n diciendo al bruto que hay hambre cesant°a y otros problemas ligados a la pandemia y saca una ley de portabilidad financiera,uncertain
Los invito el d°a de ma§ana a la ponencia del Doctor Guillermo Ru°z ArgÅelles prestigiado mÇdico especialista en hematolog°a,uncertain
Endesa dona 2 millones de euros para ayudar a colectivos vulnerables en la lucha contra la Covid19,uncertain
Uno de los fundadores y l°deres de Agua Marina de Sechura convers¢ con Infomercado para analizar el impacto del COVID 19 en la industria de la cumbia peruana,uncertain
Tras el regreso a la normalidad el secretario de Seguridad de la Ciudad de MÇxico Omar Garc°a Harfuch present¢ el Plan Operativo de de Regreso a la Normalidad que tiene el objetivo de disminuir la violencia y combate al narcomenudeo,uncertain
Segunda entrega del programa ayuda alimentaria del Gobierno de Quintana Roo en las AmÇricas 2 y 3 Chetumal frente a la contingencia del Covid19,uncertain
Desde el mismo comienzo de la pandemia los cient°ficos cubanos han identificado protocolos de avanzada que permiten evitar que los pacientes contagiados lleguen a las unidades de terapia intensiva,uncertain
Empresas pesqueras con asiento en Puerto Deseado donan al hospital de la localidad 1.200 kits para detectar Covid 19,uncertain
El 98% de la poblaci¢n tiene acceso a la radio para que las escuelas oficiales tengan acceso a la educaci¢n en tiempo de Covid19,uncertain
Seg£n las autoridades el 90 por ciento de ese personal de salud se contagi¢ en salas que no son para pacientes de covid19 atendiendo a personas que llegaron con otras patolog°as,uncertain
Nosotros solo nos podemos comprometer al COVID19 cuando la prueba est†  William Aristiz†bal presidente de Unips,uncertain
El Gobierno aprueba la Estrategia Espa§ola de Econom°a Circular que favorecer† la recuperaci¢n econ¢mica del sector textil y confecci¢n tras la crisis sanitaria del COVID19,uncertain
Al son que vamos nos van a volver locos a todos Creo que es mejor dejar la vida continuar. Hay q solicitarle a los gobiernos que nos den un informe de otras enfermedades cantidad de enfermos y muertos a la misma fecha en q estamos y comparar la COVID19 con ellas,uncertain
EnOriente Bueno para nada est†n cumpliendo con el QuedateEnTuCasa. Y los casos se COVID19 en aumento exponencial,uncertain
En abril mayo y junio se va a tocar fondo en materia econ¢mica ante la crisis que conlleva la pandemia de covid19 reconoci¢ en la conferencia matutina el presidente lopezobrador,uncertain
Desgraciado socialista a ti solo se te ocurre firmar un tratado con maduro por el Covid19 un virus que los mismos comunistas implantaron mas¢n tu tu mam† y tu hija tu esposa est†n malditos disfruten todo el dinero robado mientras puedan,uncertain
si cada uno que dijeran que pasa se chocar† no hubieramos conocido el covid19,uncertain
 Villanueva Demostr¢ Que Se Puede Convocar A La Poblaci¢n De Manera Organizada Y Protegiendo A Su Comunidad Frente Al Covid19,uncertain
Hoy acompa§amos a nuestra gobernadora elsanoguerabaq a la apertura del Centro Especializado para la atenci¢n del Covid19 en el Atl†ntico que con la adecuaci¢n de 12.600 m2 de infraestructura hospitalaria,uncertain
Por el bien de los tuyos y de tus familiares evita el contacto estrecho sin protecci¢n cuando tengas tos y fiebre  busca atenci¢n inmediata para descartar posible contagio del Covid19,uncertain
Me enfermÇ hace un mes y a£n no tengo olfato. Covid19 Tal vez,uncertain
Paciente con Covid 19 causa cierre temporal de Citibanamex en Oaxaca,uncertain
Afortunado va a traer salud a los colombianos solo morimos de Covid 19 y cuando pase la pandemia  no vamos a tener tantos problemas,uncertain
Han pasado muchas semanas desde que comenz¢ la crisis del Covid19 y por eso las donaciones son cada vez m†s necesarias para poder seguir ayudando al que m†s lo necesita.,uncertain
Marcelo Ebrard dio a conocer que son m†s de 14 mil los connacionales que han podido retornar a MÇxico durante la pandemia de Covid19 y se§al¢ que a£n hay 2 mil 627 personas varadas.,uncertain
Jefa de Vigilancia de la Secretar°a de Salud Karla Pav¢n da positivo al Covid19,uncertain
Desde FUSES informamos que participamos de la reuni¢n del comitÇ emergencia creado por razones del COVID 19,uncertain
El cierre temporal de espacios p£blicos entre ellos los museos se encuentran entre las afectaciones producidas por el nuevo coronavirus,uncertain
AEstaHora participamos del debate de control pol°tico sobre la situaci¢n en Cali por la pandemia del COVID19,uncertain
Uno de los mayores cambios de los que hablamos y que ha sido eje en muchas estrategias y acciones es el teletrabajo y/o la educaci¢n a distancia,uncertain
S° quieren salir a protestar con pleno pico de Covid19 es que son maravillosos,uncertain
Veo gente indignad°sima compartiendo la muerte del muchacho que por quÇ esto en Colombia no hace el revuelo que hizo en USA que la gente no protesta as° etc,uncertain
Desinfectan mercados municipales de La Guaira para evitar propagaci¢n de la Covid19,uncertain
Habemus nueva pr¢rroga del Estado de Alarma. Esperemos que sirva para consolidar el final del Covid19,uncertain
Nuestra publicaci¢n en nuestro blog sobre los Recursos de COVID19 de la comunidad de #NIDILRR se ha actualizado,uncertain
Felicidades s las enfermeras #cubanas especialmente en tiempos de Covid19 que han sido decisivas y merecen todos los aplausos,uncertain
Beneficio La compa§°a ofrece un beneficio exclusivo del 15% para todo el personal de la salud que d°a a d°a lucha contra el Covid19,uncertain
La crisis provocada por el Covid19 ha creado una tendencia en Espa§a que potencia la b£squeda de viviendas m†s grandes en espacios abiertos con jard°n y fuera del centro de las ciudades,uncertain
3Jun Lo que implica el acuerdo entre los equipos de Maduro y Guaid¢ para atender la crisis de la COVID19,uncertain
Paciente con la COVID19 que incumpli¢ cuarentena fue detenido en una calle de Arequipa,uncertain
Team MÇdico Vs Covid19 cumpliendo Normas de Bioseguridad,uncertain
Listos 14 racks magneticos adicionales para su distribucion en red de diagnostico y hospitales publicos,uncertain
Hablemos con nuestros peque§osno es castigo es x salud,uncertain
Los integrantes del FROPEL mantuvieron una reuni¢n a distancia para promover acciones a fin de atender el impacto de la pandemia del Covid19,uncertain
Ellos son los hÇroes invisibles de la batalla contra el COVID19 en MÇxico,uncertain
El Sr. Quintana se aprovech¢ de su cargo de Senador para mandar a ocultar los ex†menes de Alcoholemia y Drogas que se le practicaron y ahora dice que hoy es el d°a m†s triste por los contagiados de Covid19,uncertain
La Espa§a vac°a despuÇs de la covid19,uncertain
Para evitar el contagio este virus nos obliga a usar elementos de protecci¢n personal como guantes y mascarillas,uncertain
Debido a lo comentado en el punto anterior estamos sufriendo un virus altamente contagioso que llamamos genÇricamente coronavirus y particularmente CoVID19,uncertain
Menuda serie de Netflix veo yo ah°: Spiriman empieza a formar su propio ejÇrcito de monos con el £nico objetivo de robar las muestras del covid19 y elaborar as° una posible vacuna,uncertain
La Peor Pandemia que ha existido es el Comusocialismo que tiene a su haber a m†s de 150 Millones de muertes y a esa les + las del Covid19,uncertain
El presidente IvanDuque debe prohibir de manera inmediata la marcha de los vagosmarihuaneros y marranos de fecode es un riesgo muy grande de propagar el COVID19,uncertain
El mensaje optimista confuso y sin bases cient°ficas de la curva aplanada del Covid19 en MÇxico parece que hoy muestra el error y los efectos de contagios pudieran ser desastrosos a lo logrado,uncertain
Que raro porque en YouTube esta lleno de videos de gente China comiendo diversidad de animales que pueden llegar a contener alguna enfermedad y ninguna se ve pobre no solo los pobres y no sabia que el culpable del covid19 fue una persona pobre,uncertain
El pr¢ximo viernes 5 de junio D°a Mundial del Medio Ambiente el ITSE presenta el Webinar: Cambio clim†tico y el reto despuÇs del COVID19 dictado por la especialista Lisby Sandoval.,uncertain
deber°an rolarle un Record Guinnes al paciente 0 del Covid19 x ser el cabron quÇ m†s ogt la cag¢ en la historia,uncertain
Un estudio genÇtico revela similitudes y diferencias entre los virus del COVID19 y el SARS,uncertain
Un profesor y dos alumnos del programa acadÇmico de Ingenier°a BiomÇdica de la udem dise§aron y elaboraron un prototipo de cabina sanitaria para realizar las pruebas a pacientes,uncertain
Protestas reavivan el temor a rebrote de COVID19 en EE.UU,uncertain
Me da que el virus de la biblia es m†s peligroso que el covid19 por mucho que lo oculten,uncertain
Ministro de SaludSV FranAlabi se§al¢ que no se puede medir la disminuci¢n de casos COVID19 porque eso depende de quÇ tanto se exponga la poblaci¢n,uncertain
Esta noche entre las 10 pm y las 12 pm un satÇlite d la NASA medir† la temperatura corporal d toda la poblaci¢n para mapear el porcentaje d contaminaci¢n del Covid19,uncertain
Presentaron radiograf°a del Covid19 en el Tolima ante Comisi¢n SÇptima de la C†mara,uncertain
Ni siquiera Trump B Johnson o Bolsonaro han lelgado a culpar al feminismo del Covid 19,uncertain
Respuesta Polic°a Local de Elche a una consulta sobre la APP sobre el COVID19 que se ha instalado en nuestros m¢viles ANDROID,uncertain
solicitamos ayuda para poder cremar a este Venezolano que ayer muri¢ de Covid19 en Per£,uncertain
En la cdmx la personas est†n hartas del covid19 y ya no quieren seguir tomando clases en l°nea as° que deciden ya salir a las calles,uncertain
ya que guardaste religiosamente la cuarentena. Sales a correr con mascarilla con permiso del Minsa_Peru y mueres por un neumotorax espont†neo,uncertain
El nuevo AyunTelde se lleva 25.000 para la seguridad ante Covid19 ,uncertain
Nos tomamos en serio la salud de nuestros colaboradores y de todos los participantes en este proceso de entrega de equipos tecnol¢gicos  para la comunidad educativa,uncertain
El mes pasado quede registrado en el programa covid19 pero este mes ya me est†n haciendo los cobros de tarjeta Micronegocios,uncertain
El motivo de la mortal segunda fase de la Covid19 podr°a estar en la sangre,uncertain
Revelan que China demor¢ la entrega de un informe a la OMS que podr°a haber sido clave para frenar alˇCOVID19,uncertain
Acabaremos en un bunker todos pa celebrar fin de a§o 2020,uncertain
Covid19 Noruega demuestra la inutilidad del confinamiento generalizado,uncertain
Corea del Sur aprueba uso de Remdesivir para tratarˇCOVID19,uncertain
Una decena de mujeres de La Cruz se capacitaron en prevenci¢n del Covid19 en el hogar,uncertain
